University,Department,Level,Course Code,Course Name
"Lagos State University","Biochemistry","100","CHM101","General Chemistry I"
"Lagos State University","Biochemistry","100","CHM107","Experimental Chemistry I"
"Lagos State University","Biochemistry","100","PHY101","General Physics I"
"Lagos State University","Biochemistry","100","PHY107","Experimental Physics I"
"Lagos State University","Biochemistry","100","BIO101","Basic Biology I"
"Lagos State University","Biochemistry","100","BIO107","Experimental Biology I"
"Lagos State University","Biochemistry","100","MTH101","General Mathematics I"
"Lagos State University","Biochemistry","100","CIT111","Introduction to ICT"
"Lagos State University","Biochemistry","100","FRN221","Basic French"
"Lagos State University","Biochemistry","100","GST111","Communication in English I"
"Lagos State University","Biochemistry","100","LIB101","Use of Library"
"Lagos State University","Biochemistry","100","CHM102","General Chemistry II"
"Lagos State University","Biochemistry","100","CHM108","Experimental Chemistry II"
"Lagos State University","Biochemistry","100","PHY102","General Physics II"
"Lagos State University","Biochemistry","100","PHY108","Experimental Physics II"
"Lagos State University","Biochemistry","100","BIO102","Basic Biology II"
"Lagos State University","Biochemistry","100","BIO108","Experimental Biology II"
"Lagos State University","Biochemistry","100","MTH102","General Mathematics II"
"Lagos State University","Biochemistry","100","CIT112","Intro to Computer Programming"
"Lagos State University","Biochemistry","100","FRN222","French for Specific Purposes"
"Lagos State University","Biochemistry","100","GST122","Communication in English II"
"Lagos State University","Biochemistry","200","BCH201","General Biochemistry I"
"Lagos State University","Biochemistry","200","BCH203","Metabolism of Carbohydrates"
"Lagos State University","Biochemistry","200","MCB201","General Microbiology I"
"Lagos State University","Biochemistry","200","BIO203","Introductory Genetics"
"Lagos State University","Biochemistry","200","CHM205","Physical Chemistry I"
"Lagos State University","Biochemistry","200","CHM207","Inorganic Chemistry I"
"Lagos State University","Biochemistry","200","CHM291","Experimental Physical/Inorganic Chemistry"
"Lagos State University","Biochemistry","200","GST113","Nigerian Peoples & Culture"
"Lagos State University","Biochemistry","200","CIT201","Structured Programming"
"Lagos State University","Biochemistry","200","BCH202","General Biochemistry II"
"Lagos State University","Biochemistry","200","BCH204","Biochemical Methods"
"Lagos State University","Biochemistry","200","BCH206","Food & Nutritional Biochemistry"
"Lagos State University","Biochemistry","200","BIO202","Biological Techniques"
"Lagos State University","Biochemistry","200","CHM208","Physical Chemistry II"
"Lagos State University","Biochemistry","200","CHM202","Organic Chemistry I"
"Lagos State University","Biochemistry","200","CHM292","Experimental Physical/Organic Chemistry"
"Lagos State University","Biochemistry","200","GST112","Logic, Philosophy & Human Existence"
"Lagos State University","Biochemistry","300","BCH301","Enzymology"
"Lagos State University","Biochemistry","300","BCH303","Metabolism of Lipids"
"Lagos State University","Biochemistry","300","BCH305","Metabolism of Nucleic Acids"
"Lagos State University","Biochemistry","300","BCH307","Metabolism of Amino Acids & Protein"
"Lagos State University","Biochemistry","300","BCH309","Membrane Biochemistry"
"Lagos State University","Biochemistry","300","BCH391","General Biochemical Methods"
"Lagos State University","Biochemistry","300","CHM303","Organic Chemistry II"
"Lagos State University","Biochemistry","300","STA201","Statistics for Biological Students"
"Lagos State University","Biochemistry","300","CHM401","Instrumental Analytical Methods"
"Lagos State University","Biochemistry","300","GST311","Entrepreneurship"
"Lagos State University","Biochemistry","300","BCH399","Industrial Attachment (SIWES)"
"Lagos State University","Biochemistry","400","BCH401","Advanced Enzymology"
"Lagos State University","Biochemistry","400","BCH403","Tissue Biochemistry"
"Lagos State University","Biochemistry","400","BCH405","Biotechnology & Genetic Engineering"
"Lagos State University","Biochemistry","400","BCH407","Plant Biochemistry"
"Lagos State University","Biochemistry","400","BCH409","Seminar in Biochemistry"
"Lagos State University","Biochemistry","400","BCH411","Pharmacological Biochemistry & Toxicology"
"Lagos State University","Biochemistry","400","BCH413","Bioenergetics"
"Lagos State University","Biochemistry","400","MCB305","Microbial Genetics/Molecular Biology"
"Lagos State University","Biochemistry","400","MCB401","Immunology & Immunochemistry"
"Lagos State University","Biochemistry","400","BCH417","Biochemistry of Parasites"
"Lagos State University","Biochemistry","400","BCH402","Biosynthesis of Macromolecules"
"Lagos State University","Biochemistry","400","BCH404","Bioinorganic Chemistry"
"Lagos State University","Biochemistry","400","BCH406","Metabolic Regulations"
"Lagos State University","Biochemistry","400","BCH408","Biochemical Reasoning"
"Lagos State University","Biochemistry","400","BCH412","Industrial Biochemistry"
"Lagos State University","Biochemistry","400","MCB408","Microbial Physiology & Metabolism"
"Lagos State University","Biochemistry","400","BCH499","Research Project"
"Lagos State University","Biochemistry","400","BCH492","Advanced Biochemical Methods"
"Lagos State University","Biochemistry","400","BCH414","Clinical and Forensic Biochemistry"
"Lagos State University","Mathematics","100","GST111","Communication in English I"
"Lagos State University","Mathematics","100","GST112","Logic, Philosophy & Human Existence"
"Lagos State University","Mathematics","100","GST113","Nigerian Peoples & Culture"
"Lagos State University","Mathematics","100","GST114","Valuing the Teaching Profession I"
"Lagos State University","Mathematics","100","GST115","Lagos & Its Environs"
"Lagos State University","Mathematics","100","GST116","Intro to Yoruba Language & Culture"
"Lagos State University","Mathematics","100","BIO101","General Biology I"
"Lagos State University","Mathematics","100","CHM101","General Chemistry I"
"Lagos State University","Mathematics","100","CSC101","Intro to Computer Science"
"Lagos State University","Mathematics","100","MTH101","Elementary Mathematics I"
"Lagos State University","Mathematics","100","MTH103","Elementary Mathematics III"
"Lagos State University","Mathematics","100","PHY101","General Physics I"
"Lagos State University","Mathematics","100","PHY107","General Practical Physics I"
"Lagos State University","Mathematics","100","GST121","Use of Library Skills & ICT"
"Lagos State University","Mathematics","100","GST122","Communication in English II"
"Lagos State University","Mathematics","100","GST125","Contemporary Health Issues"
"Lagos State University","Mathematics","100","GST126","Communication in Arabic"
"Lagos State University","Mathematics","100","MTH102","Elementary Mathematics II"
